"length","heigth","value","stock_id","id_assignment","id_job_type"
"29","20","1","9","1504","1"
"55","33","1","9","1502","1"
"12","30","1","9","1502","1"
"20","10","1","9","1502","1"
"10","18","1","9","1508","3"
"8","10","1","9","1508","3"
"10","18","1","9","1508","1"
"8","10","1","9","1508","1"
"25","24","1","9","1508","1"
"18","33","1","9","1513","1"
"48","30","1","9","1507","1"
"18","24","1","9","1510","1"
"30","20","1","9","1515","1"
"23","20","1","9","1515","1"
"27","20","1","9","1515","1"
"37","30","1","9","1493","2"
"23","20","1","9","1498","1"
"33","39","1","9","1516","1"
"33","27","1","9","1516","1"
"39","14","1","9","1522","1"
"21","19","1","9","1512","2"
"20","18","1","9","1512","2"
"30","20","1","9","1528","1"
"28","20","1","9","1527","1"
"51","30","1","9","1529","1"
"28","20","1","9","1530","1"
"30","28","1","9","1531","1"
"15","20","1","9","1533","1"
"30","20","1","9","1538","1"
"50","30","1","9","1537","1"
"27","19","1","9","1532","1"
"14","15","1","9","1540","1"
"21","20","1","9","1540","1"
"7","5","1","9","1540","1"
"7","5","1","9","1540","1"
"13","30","1","9","1539","1"
"18","35","1","9","1539","1"
"12","10","1","9","1541","1"
"22","32","1","9","1542","1"
"32","30","1","9","1544","1"
"17","18","1","9","1526","1"
"16","23","1","9","1526","1"
"10","25","1","9","1526","1"
"30","39","1","9","1485","2"
"30","25","1","9","1548","1"
"20","25","1","9","1550","1"
"29","20","1","9","1551","1"
"30","20","1","9","1518","2"
"38","23","1","9","1554","1"
"31","50","1","9","1545","2"
"32","17","1","9","1545","2"
"60","40","1","9","1536","2"
"25","13","0","9","1555","1"
"29","20","1","9","1556","2"
"30","25","1","9","1558","2"
"50","30","1","9","1517","2"
"30","15","1","9","1565","1"
"60","30","1","9","1484","2"
"30","20","1","9","1547","2"
"18","20","1","9","1567","1"
"11","20","1","9","1561","2"
"7","10","1","9","1564","2"
"20","10","1","9","1564","2"
"20","16","1","9","1569","1"
"40","30","1","9","1570","1"
"30","26","1","9","1572","1"
"19","40","1","9","1572","1"
"13","13","1","9","1572","1"
"28","20","1","9","1574","1"
"40","30","1","9","1573","2"
"30","23","1","9","1575","1"
"15","16","1","9","1576","1"
"19","40","1","9","1576","1"
"40","20","1","9","1576","1"
"20","17","1","9","1576","1"
"50","30","1","9","1557","2"
"30","20","1","9","1581","2"
"27","20","1","9","1581","2"
"25","20","1","9","1581","2"
"30","35","1","9","1584","1"
"15","20","1","9","1588","1"
"50","30","1","9","1585","1"
"26","30","1","9","1589","1"
"34","46","1","9","1591","1"
