"referral_id","carrier_id","auth_id"
"408","408","1133"
"408","408","1134"
"408","408","1136"
"408","408","1138"
"415","415","780"
"415","415","781"
"415","415","1047"
"415","415","1112"
"415","415","1116"
"415","415","1117"
"415","415","1126"
"435","435","780"
"435","435","781"
"435","435","1047"
"436","436","780"
"436","436","781"
"436","436","1047"
"466","466","780"
"466","466","781"
"466","466","1047"
"468","468","780"
"468","468","781"
"468","468","1112"
"469","469","780"
"470","470","780"
"470","470","781"
"487","487","780"
"487","487","781"
"487","487","1047"
"496","496","780"
"496","496","781"
"496","496","1126"
"497","497","780"
"497","497","781"
"497","497","1047"
"497","497","1142"
"508","508","780"
"508","508","781"
"508","508","1047"
"532","532","780"
"572","572","780"
"572","572","781"
"572","572","1047"
"573","573","780"
"573","573","781"
"573","573","1047"
"584","584","780"
"588","588","780"
"588","588","781"
"588","588","1047"
