"assignment_id","id","created_by","updated_by","start_date","end_date"
"6654","10","73","73","2020-11-15 10:30:00","2020-11-15 11:30:00"
"6655","9","73","73","2020-11-15 09:00:00","2020-11-15 10:00:00"
"6656","9","73","73","2020-11-14 16:00:00","2020-11-14 17:00:00"
"6657","10","73","73","2020-11-14 14:30:00","2020-11-14 15:30:00"
"6658","9","73","73","2020-11-17 14:00:00","2020-11-17 15:00:00"
"6659","14","73","73","2020-11-15 09:00:00","2020-11-15 10:00:00"
"6660","10","73","73","2020-11-15 09:00:00","2020-11-15 10:00:00"
"6661","10","73","73","2020-11-14 20:00:00","2020-11-14 21:00:00"
"6662","34","73","73","2020-11-15 11:00:00","2020-11-15 12:00:00"
"6663","14","73","73","2020-11-15 10:30:00","2020-11-15 11:30:00"
"6664","9","73","73","2020-11-15 13:30:00","2020-11-15 14:30:00"
"6665","8","73","73","2020-11-15 14:00:00","2020-11-15 15:00:00"
"6666","8","73","73","2020-11-16 10:00:00","2020-11-16 11:00:00"
"6667","9","73","73","2020-11-15 14:00:00","2020-11-15 15:00:00"
"6668","8","73","73","2020-11-16 08:00:00","2020-11-16 09:00:00"
"6671","24","73","73","2020-11-20 10:00:00","2020-11-20 11:00:00"
"6672","9","73","73","2020-11-16 10:00:00","2020-11-16 11:00:00"
"6674","14","73","73","2020-11-17 11:00:00","2020-11-17 12:00:00"
"6675","24","73","73","2020-11-16 13:00:00","2020-11-16 14:00:00"
"6676","8","73","73","2020-11-16 12:00:00","2020-11-16 13:00:00"
"6677","1","73","73","2020-11-18 13:30:00","2020-11-18 14:30:00"
"6678","14","73","73","2020-11-16 14:00:00","2020-11-16 15:00:00"
"6679","31","73","73","2020-11-16 14:30:00","2020-11-16 15:30:00"
"6680","14","73","73","2020-11-17 08:00:00","2020-11-17 09:00:00"
"6681","9","73","73","2020-11-17 08:00:00","2020-11-17 09:00:00"
"6682","9","73","73","2020-11-17 16:00:00","2020-11-17 17:00:00"
"6684","8","73","73","2020-11-16 15:00:00","2020-11-16 16:00:00"
"6685","14","73","73","2020-11-16 15:00:00","2020-11-16 16:00:00"
"6686","9","73","73","2020-11-16 15:00:00","2020-11-16 16:00:00"
"6687","8","73","73","2020-11-16 17:00:00","2020-11-16 18:00:00"
"6688","8","73","73","2020-11-18 16:00:00","2020-11-18 17:00:00"
"6689","2","73","73","2020-11-18 09:00:00","2020-11-18 10:00:00"
"6691","8","73","73","2020-11-17 15:00:00","2020-11-17 16:00:00"
"6692","8","73","73","2020-11-17 11:00:00","2020-11-17 12:00:00"
"6693","24","73","73","2020-11-17 10:00:00","2020-11-17 11:00:00"
"6694","1","73","73","2020-11-20 14:00:00","2020-11-20 15:00:00"
"6695","1","73","73","2020-11-24 15:00:00","2020-11-24 16:00:00"
"6696","34","73","73","2020-11-17 09:30:00","2020-11-17 10:30:00"
"6697","24","73","73","2020-11-17 14:00:00","2020-11-17 15:00:00"
"6698","24","73","73","2020-11-20 08:00:00","2020-11-20 09:00:00"
