"assignment_id"	"tech_id"	"created_by"	"updated_by"	"start_date"	"end_date"
"2017"	"6"	"73"	"73"	"2020-4-22 16:00:00"	"2020-4-22 17:00:00"
"2018"	"6"	"73"	"73"	"2020-4-29 10:00:00"	"2020-4-29 11:00:00"
"2019"	"15"	"73"	"73"	"2020-4-27 11:00:00"	"2020-4-27 12:00:00"
"2020"	"6"	"73"	"73"	"2020-4-23 14:00:00"	"2020-4-23 15:00:00"
"2021"	"15"	"73"	"73"	"2020-4-24 08:00:00"	"2020-4-24 09:00:00"
"2022"	"7"	"73"	"73"	"2020-4-24 18:00:00"	"2020-4-24 19:00:00"
"2023"	"15"	"73"	"73"	"2020-4-27 09:00:00"	"2020-4-27 10:00:00"
"2025"	"15"	"73"	"73"	"2020-4-25 08:00:00"	"2020-4-25 09:00:00"
"2026"	"7"	"73"	"73"	"2020-4-24 18:00:00"	"2020-4-24 19:00:00"
"2027"	"6"	"73"	"73"	"2020-4-24 17:00:00"	"2020-4-24 18:00:00"
"2028"	"15"	"73"	"73"	"2020-4-28 13:00:00"	"2020-4-28 14:00:00"
"2029"	"15"	"73"	"73"	"2020-4-26 18:00:00"	"2020-4-26 19:00:00"
"2030"	"15"	"73"	"73"	"2020-4-26 20:00:00"	"2020-4-26 21:00:00"
"2032"	"1"	"73"	"73"	"2020-4-27 13:00:00"	"2020-4-27 14:00:00"
"2033"	"1"	"73"	"73"	"2020-4-27 17:00:00"	"2020-4-27 18:00:00"
"2034"	"6"	"73"	"73"	"2020-4-29 12:00:00"	"2020-4-29 13:00:00"
"2035"	"15"	"73"	"73"	"2020-4-27 14:00:00"	"2020-4-27 15:00:00"
"2037"	"1"	"73"	"73"	"2020-4-27 16:00:00"	"2020-4-27 17:00:00"
"2038"	"7"	"73"	"73"	"2020-4-30 09:00:00"	"2020-4-30 10:00:00"
"2039"	"15"	"73"	"73"	"2020-4-27 18:00:00"	"2020-4-27 19:00:00"
"2040"	"7"	"73"	"73"	"2020-4-28 09:00:00"	"2020-4-28 10:00:00"
"2041"	"1"	"73"	"73"	"2020-4-27 15:00:00"	"2020-4-27 16:00:00"
"2042"	"15"	"73"	"73"	"2020-4-28 13:00:00"	"2020-4-28 14:00:00"
"2044"	"6"	"73"	"73"	"2020-4-28 15:00:00"	"2020-4-28 16:00:00"
"2045"	"15"	"73"	"73"	"2020-4-28 16:00:00"	"2020-4-28 17:00:00"
"2046"	"6"	"73"	"73"	"2020-4-28 17:00:00"	"2020-4-28 18:00:00"
"2047"	"7"	"73"	"73"	"2020-5-1 12:00:00"	"2020-5-1 13:00:00"
"2048"	"15"	"73"	"73"	"2020-4-29 08:00:00"	"2020-4-29 09:00:00"
"2049"	"15"	"73"	"73"	"2020-4-29 11:00:00"	"2020-4-29 12:00:00"
"2050"	"1"	"73"	"73"	"2020-4-30 17:00:00"	"2020-4-30 18:00:00"
"2051"	"6"	"73"	"73"	"2020-4-29 17:00:00"	"2020-4-29 18:00:00"
"2052"	"15"	"73"	"73"	"2020-4-30 13:00:00"	"2020-4-30 14:00:00"
"2053"	"7"	"73"	"73"	"2020-4-30 15:30:00"	"2020-4-30 16:30:00"
